grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,centroid_lon,centroid_lat,public_count,private_count,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100,congestion_score_100_local
g61_sr3sc7,7,5,3,7,127.1847010769857,36.80583450374218,127.18792180578312,36.80842434315489,127.18631146760403,36.807129429342915,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc8,7,5,3,8,127.18786189340607,36.805882719984496,127.19108252535281,36.80847247987455,127.18947223559907,36.80717760582587,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc9,7,5,3,9,127.19102271733897,36.80593085228041,127.19424325242099,36.80852053263949,127.19263301109962,36.807225698358245,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc0,7,5,4,0,127.16251481862747,36.80803622710222,127.16573633695846,36.8106266262507,127.16412560401565,36.809331432557705,0,0,0,23451.887096774193,23451.887096774193,63.0,0.0,2.020983332078175,0.05055774014926571,0.6905136907424803,1.5733590933542683,15.733590933542683,15.733590933542683
g61_sr4sc1,7,5,4,1,127.16567568646255,36.80808503543719,127.16889710802919,36.810675355113986,127.16728642346858,36.80938020115879,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc2,7,5,4,2,127.16883656190265,36.80813375982245,127.17205788669088,36.81072400001922,127.17044725051949,36.809428885806,0,0,0,0.0,5460.427419354839,1.0,0.0,0.0,0.0008025038118931064,0.0002675012706310355,0.0006095108066266014,0.0060951080662660145,0.0060951080662660145
g61_sr4sc3,7,5,4,3,127.1719974449347,36.80818240025738,127.17521867293044,36.81077256096577,127.17360808515535,36.8094774864987,0,0,0,0.0,5460.427419354839,3.0,0.0,0.0,0.002407511435679319,0.0008025038118931064,0.0018285324198798042,0.018285324198798043,0.018285324198798043
g61_sr4sc4,7,5,4,4,127.17515833554563,36.80823095674133,127.1783794667348,36.81082103795303,127.176768927363,36.809526003236265,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc5,7,5,4,5,127.17831923372235,36.80827942927369,127.18154026809093,36.810869430980354,127.17992977712943,36.80957443601805,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc6,7,5,4,6,127.18148013945178,36.80832781785383,127.1847010769857,36.81091774004709,127.18309063444158,36.809622784843455,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc7,7,5,4,7,127.18464105272086,36.8083761224811,127.18786189340607,36.81096596515265,127.1862514992863,36.80967104971183,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc8,7,5,4,8,127.1878019735165,36.80842434315489,127.19102271733897,36.81101410629636,127.18941237165059,36.80971923062254,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr4sc9,7,5,4,9,127.19096290182566,36.80847247987456,127.1941835487713,36.811062163477644,127.19257325152137,36.809767327574974,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr5sc0,7,5,5,0,127.16245405614507,36.81057781343001,127.16567568646255,36.81316821588948,127.16406489752977,36.811873020541576,0,0,0,0.0,5460.427419354839,359.0,0.0,0.0,0.28809886846962524,0.09603295615654174,0.21881437957894992,2.1881437957894994,2.1881437957894994
g61_sr5sc1,7,5,5,1,127.16561502836163,36.8106266262507,127.16883656190265,36.81321694923108,127.1672258213581,36.81192179362466,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr5sc2,7,5,5,2,127.16877600818418,36.810675355113986,127.1719974449347,36.81326559860692,127.17038675278546,36.81197048274619,0,0,0,0.0,5460.427419354839,42.0,0.0,0.0,0.03370516009951047,0.011235053366503489,0.025599453878317257,0.2559945387831726,0.2559945387831726
g61_sr5sc3,7,5,5,3,127.17193699559967,36.81072400001922,127.17515833554563,36.813314164016376,127.17354769179867,36.81201908790549,0,0,0,0.0,5460.427419354839,3.0,0.0,0.0,0.002407511435679319,0.0008025038118931064,0.0018285324198798042,0.018285324198798043,0.018285324198798043
g61_sr5sc4,7,5,5,4,127.175097990595,36.81077256096577,127.17831923372235,36.81336264545881,127.17670863838471,36.81206760910195,0,0,0,0.0,5460.427419354839,3.0,0.0,0.0,0.002407511435679319,0.0008025038118931064,0.0018285324198798042,0.018285324198798043,0.018285324198798043
g61_sr5sc5,7,5,5,5,127.17825899315714,36.81082103795303,127.18148013945178,36.81341104293359,127.17986959253051,36.81211604633493,0,0,1,0.0,5460.427419354839,0.0,2.0,0.0,0.0,0.6666666666666666,1.519022832274816,15.190228322748162,15.190228322748162
g61_sr5sc6,7,5,5,6,127.18142000327296,36.810869430980354,127.18464105272086,36.81345935644009,127.18303055422298,36.81216439960379,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr5sc7,7,5,5,7,127.18458102092943,36.81091774004709,127.1878019735165,36.813507585977696,127.18619152344905,36.81221266890791,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr5sc8,7,5,5,8,127.18774204611344,36.81096596515265,127.19096290182566,36.81355573154577,127.18935250019564,36.81226085424669,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr5sc9,7,5,5,9,127.19090307881191,36.81101410629636,127.19412383763523,36.81360379314366,127.19251348444969,36.81230895561946,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc0,7,5,6,0,127.1623932860436,36.813119398582764,127.16561502836163,36.81570980435352,127.16400418343181,36.814414607350535,0,0,0,0.0,5460.427419354839,49.0,0.0,0.0,0.03932268678276222,0.01310756226092074,0.02986602952470347,0.29866029524703475,0.29866029524703475
g61_sr6sc1,7,5,6,1,127.16555436265469,36.81316821588948,127.16877600818418,36.81575854217372,127.16716521164865,36.814463384915946,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc2,7,5,6,2,127.16871544687278,36.81321694923108,127.17193699559967,36.81580719602045,127.17032624746547,36.81451207851207,0,0,0,0.0,5460.427419354839,29.0,0.0,0.0,0.023272610544900086,0.007757536848300029,0.01767581339217144,0.1767581339217144,0.1767581339217144
g61_sr6sc3,7,5,6,3,127.17187653868478,36.81326559860692,127.175097990595,36.81585576589308,127.17348729086915,36.814560688138265,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc4,7,5,6,4,127.17503763807764,36.813314164016376,127.17825899315714,36.81590425179099,127.17664834184666,36.81460921379391,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc5,7,5,6,5,127.17819874503824,36.81336264545881,127.18142000327296,36.81595265371354,127.1798094003849,36.814657655478356,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc6,7,5,6,6,127.18135985955354,36.81341104293359,127.18458102092943,36.8160009716601,127.18297046647078,36.814706013190985,0,0,0,0.0,5460.427419354839,1.0,0.0,0.0,0.0008025038118931064,0.0002675012706310355,0.0006095108066266014,0.0060951080662660145,0.0060951080662660145
g61_sr6sc7,7,5,6,7,127.18452098161046,36.81345935644009,127.18774204611344,36.81604920563003,127.1861315400913,36.81475428693116,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr6sc8,7,5,6,8,127.18768211119588,36.813507585977696,127.19090307881191,36.81609735562273,127.18929262123325,36.81480247669826,0,0,1,0.0,5460.427419354839,0.0,2.0,0.0,0.0,0.6666666666666666,1.519022832274816,15.190228322748162,15.190228322748162
g61_sr6sc9,7,5,6,9,127.19084324829677,36.81355573154577,127.1940641190118,36.81614542163755,127.19245370988367,36.814850582491665,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc0,7,5,7,0,127.16233250832207,36.81566098256048,127.16555436265469,36.81825139164276,127.16394346172078,36.81695619298457,0,0,0,0.0,5460.427419354839,45.0,0.0,0.0,0.03611267153518979,0.012037557178396595,0.02742798629819706,0.2742798629819706,0.2742798629819706
g61_sr7sc1,7,5,7,1,127.16549368934076,36.81570980435352,127.16871544687278,36.81830013394185,127.16710459433924,36.81700497503261,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
